id,season,pa,babip,bb_rate,k_rate,sprint_speed,swstr,oswing,zswing,swing,ocontact,zcontact,contact,ld,gb,fb,iffb,hr_fb,pull,oppo,hard,team_- - -,team_ARI,team_ATL,team_BAL,team_BOS,team_CHC,team_CHW,team_CIN,team_CLE,team_COL,team_DET,team_HOU,team_KCR,team_LAA,team_LAD,team_MIA,team_MIL,team_MIN,team_NYM,team_NYY,team_OAK,team_PHI,team_PIT,team_SDP,team_SEA,team_SFG,team_STL,team_TBR,team_TEX,team_TOR,team_WSN,player_id
9682,2016,248,0.308,0.1169999999999999,0.355,7.0,0.148,0.257,0.6459999999999999,0.427,0.477,0.741,0.6509999999999999,0.1689999999999999,0.369,0.462,0.083,0.217,0.485,0.2,0.369,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,738
17232,2022,433,0.265,0.074,0.263,3.1,0.121,0.313,0.684,0.471,0.5660000000000001,0.852,0.743,0.173,0.392,0.435,0.073,0.098,0.365,0.253,0.309,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,155
18607,2023,116,0.164,0.095,0.3879999999999999,1.4,0.2,0.299,0.6859999999999999,0.46,0.413,0.6559999999999999,0.564,0.158,0.3329999999999999,0.509,0.034,0.138,0.5589999999999999,0.203,0.288,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,303
23818,2023,371,0.31,0.081,0.248,7.4,0.103,0.306,0.6829999999999999,0.4629999999999999,0.638,0.863,0.777,0.185,0.597,0.2189999999999999,0.039,0.039,0.291,0.348,0.2189999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,650
12564,2022,396,0.309,0.081,0.308,5.4,0.1369999999999999,0.369,0.701,0.498,0.607,0.821,0.725,0.192,0.356,0.452,0.148,0.148,0.423,0.251,0.331,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,144
17548,2020,102,0.394,0.078,0.275,7.7,0.0969999999999999,0.276,0.655,0.445,0.517,0.921,0.782,0.288,0.439,0.273,0.0,0.0,0.212,0.318,0.3329999999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,134
12861,2021,249,0.267,0.1159999999999999,0.165,1.0,0.071,0.272,0.7040000000000001,0.465,0.7390000000000001,0.9,0.848,0.2189999999999999,0.315,0.466,0.108,0.072,0.433,0.275,0.298,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,163
11342,2018,566,0.309,0.102,0.253,1.3,0.125,0.356,0.601,0.455,0.614,0.8240000000000001,0.726,0.237,0.354,0.409,0.061,0.238,0.435,0.231,0.44,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,334
1433,2021,163,0.213,0.055,0.221,0.9,0.135,0.3779999999999999,0.73,0.542,0.536,0.878,0.7509999999999999,0.181,0.5429999999999999,0.276,0.156,0.25,0.422,0.25,0.362,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,415
12180,2018,377,0.406,0.048,0.366,4.2,0.238,0.469,0.794,0.611,0.429,0.747,0.61,0.2319999999999999,0.478,0.29,0.033,0.1669999999999999,0.28,0.319,0.377,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,499
