id,RAWBA,BAA,total_pa,seasons
13359,0.2658543195934501,0.2526096918523423,1771,6
13367,0.2552819414703783,0.2583252235693905,2802,8
13369,0.24375956937799045,0.26701896281948995,836,5
13414,0.29378801843317975,0.268359909649215,217,2
13419,0.2526376537369915,0.24276906730346198,3171,6
13473,0.241,0.2543650375608323,392,1
13499,0.2463699346405229,0.2055272943607809,765,3
13510,0.27947382018601447,0.2649551435998779,5806,10
13546,0.23064041994750656,0.23814634530186068,381,3
13590,0.2616569369369369,0.26200614436285674,2775,8
13593,0.2664212746016869,0.2761979169762047,2134,6
13595,0.197,0.268766201188659,135,1
13602,0.2085393501805054,0.18354130454857642,1385,4
13608,0.2593752333540759,0.27600982641635075,1607,4
13611,0.2940485148514852,0.26837566911600214,6060,10
13613,0.28059082892416226,0.2688853612526212,4536,10
13620,0.23003470975463797,0.23780741678875908,1671,6
13621,0.24049296987087515,0.23867647063476272,3485,8
13624,0.2905511031067087,0.2828385615913141,4442,10
13633,0.221568356374808,0.23100720432829674,651,3
13675,0.2402879746835443,0.23535129539438068,1264,4
13723,0.23694189424753054,0.23646370885225865,1721,6
13744,0.2800736196319018,0.2604623995070298,1141,4
13755,0.21758970976253297,0.25955762131269483,758,4
13757,0.24928531390134528,0.24821875806420285,3568,9
13768,0.24666643209007744,0.26749063758848385,1421,5
13769,0.2518514376996805,0.2425274179381342,1252,5
13770,0.2589500860585197,0.2534201037727981,1162,6
13777,0.2668601694915254,0.2706131370136136,944,3
13788,0.2408258706467662,0.23141574729049932,402,2
13807,0.2275976065818998,0.23375912238966412,1337,7
13809,0.23,0.2427626194073105,114,1
13836,0.2771907444668008,0.27633779309377804,2485,7
13853,0.26254899387576547,0.2707030758256646,2286,7
13862,0.2736313253012048,0.2592402206136739,1245,4
13866,0.2501242937853107,0.2377011701148448,354,2
13895,0.237,0.23553958932985103,184,1
13897,0.21700000000000003,0.2665834511827087,174,1
13910,0.20799999999999996,0.22070332112354143,204,1
14103,0.21286895810955964,0.2379689399022171,931,4
14106,0.2415334538878843,0.24299054109231027,2212,5
14109,0.26613711272247853,0.26979845959565746,1517,5
14111,0.23030048780487805,0.22180179074871825,1025,3
14128,0.19567061962644527,0.1980721444141712,3373,9
14130,0.22145528898582334,0.222827766950238,1834,6
14131,0.21342488619119876,0.21245771275197878,659,3
14137,0.25268100358422935,0.26126981567044594,279,2
14140,0.20978030303030304,0.22824199883846594,264,2
14145,0.23090854392298435,0.233333541455211,831,3
14158,0.1945478723404255,0.23356554124406778,376,3
14161,0.24723229054297016,0.22386426516312255,2781,9
14162,0.275222268907563,0.2561020688075789,4760,10
14196,0.19599999999999998,0.22133664599359956,349,1
14221,0.24130481012658228,0.22583883834355956,3950,10
14225,0.2637517361111111,0.25484987997987285,2304,5
14274,0.2499617999352541,0.23053690539710894,3089,8
14320,0.2528157676348548,0.26621228588633933,1205,4
14329,0.233,0.2012186546829932,148,1
14330,0.2551317829457364,0.2539333786348463,903,3
14335,0.211,0.2258596909402229,103,1
14344,0.2555424071991001,0.23671093722370506,4445,8
14350,0.27485298621745796,0.2813584706871914,1959,6
14352,0.2031723484848485,0.23207299098235795,1056,4
14366,0.2733371900826446,0.24850043663049984,1210,3
14387,0.2863642039542144,0.2727852612773059,1922,5
14388,0.2284716459197787,0.24114063935637145,723,2
14477,0.23600831202046033,0.2497410139998336,1564,7
14503,0.24980483271375467,0.22006390459764408,1076,3
14523,0.23380104257167683,0.23336039489998459,1151,4
14551,0.24509046692607006,0.22554915246466434,3084,7
14553,0.2559122676579926,0.25201309339380534,2690,7
14556,0.2,0.2079313552733735,140,1
14558,0.225,0.2143495631317147,135,1
14566,0.2510799801291605,0.2312896285451354,2013,5
14567,0.2166849557522124,0.23803662453428928,565,3
